file_path,file_name,domain_cn,domain_en,updated_at
E:\domain_details\papers\（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,（1）Administration-of-lipid-nanoparticle-encapsulated-m_2025_International-Journ.pdf,免疫学,免疫学,2026/2/16 0:01
E:\domain_details\papers\（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,（3）A-GAPDH-serotonylation-system-couples-CD8--T-cell-glycolytic-_2024_Molecular.pdf,免疫学,免疫学,2026/2/16 0:02
E:\domain_details\papers\（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,（11）Carbon-nanoparticles-Fe-II--complex-combined-with-soraf_2025_Colloids-and-Su.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,（17）Discovery-of-ARS-1620-analogs-as-KRas-G12C-inhibitors-with_2022_Bioorganic-C.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,（23）Hyaluronanized-gold-nanoparticles-functionalized-with-CTX-_2025_Chemical-Eng.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,（2）Advanced-understanding-of-the-neurotoxicity-of-brominated_2025_Journal-of-Ha.pdf,化学,化学,2026/2/16 0:01
E:\domain_details\papers\（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,（38）Protein-tannic-acid-multilayer-films--A-multifunctio_2017_Journal-of-Colloid.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,（44）Silica nanoparticles as carriers of antifouling ligands for PVDF ultrafiltration membranes.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,（45）Synthesis-and-pharmacological-evaluation-of-novel-resorcinol-b_2021_Biochemi.pdf,化学,化学,2026/2/16 0:02
E:\domain_details\papers\（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,（14）Comparison of mesenchymal stem cells derived from gingival tissue and periodontal ligament in different incubation conditions.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,（15）DDX24-inhibits-clear-cell-renal-cell-carcinoma-progression_2025_Cellular-Sig.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,（16）Dimethyl-malonate-preserves-brain-and-neurobehavioral-phenotype-f_2025_Redox.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,（18）Evaluation of the activity levels of rat FVIII and human FVIII delivered by.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,（24）Identification and characterization of a cross-neutralization epitope of Enterovirus 71.pdf,医学,医学,2026/2/16 0:01
E:\domain_details\papers\（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,（26）Iodine-131-radioembolization-boosts-the-immune-activation_2025_Journal-of-Co.pdf,医学,医学,2026/2/16 0:01
